step,task_id,alpha_t,e_prev,e_warm,e_opt,e_final,warm_ratio,opt_gain,evict_penalty
500,1,0.002,0.019473166597489648,0.01943422026429466,0.019307360168271514,0.0195128890635499,0.9999999999999483,0.00012686009602314724,0.0002055288952783861
1000,1,0.001,0.019702476044959148,0.019682773568914173,0.01956999265918892,0.01961499638226471,0.9999999999999485,0.00011278090972525329,4.500372307578854e-05
1500,1,0.0006666666666666666,0.019465031709287973,0.01945205502148177,0.019333921838720933,0.019463764067870773,0.9999999999999482,0.00011813318276083715,0.00012984222914983953
2000,1,0.0005,0.019181495955440435,0.019171905207462706,0.01906868839363854,0.0190690304873642,0.9999999999999474,0.0001032168138241675,3.4209372565957574e-07
2500,2,0.0004,0.02063617751950103,0.020627923048493233,0.020466454753160078,0.020486688095923168,0.9999999999999516,0.00016146829533315518,2.023334276309019e-05
3000,2,0.0003333333333333333,0.020336190410837472,0.02032941168070054,0.02022000814256666,0.02035495469058361,0.9999999999999515,0.00010940353813387871,0.00013494654801694816
3500,2,0.00028571428571428574,0.020314421616101582,0.020308617495639846,0.020264473692486643,0.020268427258118518,0.9999999999999512,4.4143803153203626e-05,3.953565631875655e-06
4000,2,0.00025,0.020886046451013586,0.020880824939400834,0.020852263891695498,0.02090459861207109,0.9999999999999521,2.8561047705336073e-05,5.233472037559361e-05
4500,3,0.00022222222222222223,0.02037758750399137,0.020373059151212694,0.02027200312110454,0.020441330311601915,0.9999999999999505,0.00010105603010815423,0.00016932719049737519
5000,3,0.0002,0.020004029744721284,0.02000002893877234,0.019832876960235654,0.020137277720325177,0.99999999999995,0.0001671519785366865,0.0003044007600895224
5500,3,0.0001818181818181818,0.020225758807665382,0.02022208139697307,0.02013800462802981,0.020196999259432125,0.99999999999995,8.407676894325866e-05,5.899463140231556e-05
6000,3,0.00016666666666666666,0.020337145133432353,0.020333755609243446,0.020280051473678992,0.020358677509508954,0.9999999999999507,5.3704135564453664e-05,7.86260358299623e-05
6500,4,0.00015384615384615385,0.020267813854356522,0.020264695729148147,0.020180247700286272,0.020236206236305496,0.9999999999999502,8.444802886187555e-05,5.595853601922385e-05
7000,4,0.00014285714285714287,0.019822388343623924,0.01981955657386055,0.01978704134616566,0.019839526979702572,0.9999999999999496,3.251522769489104e-05,5.248563353691185e-05
7500,4,0.00013333333333333334,0.020001827547115204,0.019999160636775596,0.019861128837583446,0.020105843561076513,0.9999999999999504,0.00013803179919215022,0.0002447147234930676
8000,4,0.000125,0.01997964855683109,0.01997715110076149,0.01994552953058058,0.020004183062791454,0.9999999999999504,3.162157018091194e-05,5.8653532210874854e-05
8500,5,0.00011764705882352942,0.019983081079426417,0.01998073012871118,0.019933528453104837,0.020011553467728843,0.9999999999999495,4.720167560634189e-05,7.80250146240058e-05
9000,5,0.00011111111111111112,0.02014952172801691,0.020147282892269344,0.02014609696740664,0.02014609696740661,0.9999999999999499,1.1859248627045516e-06,-3.122502256758253e-17
9500,5,0.00010526315789473685,0.019903572635062095,0.01990147752215313,0.01977464842929802,0.019882138054321746,0.9999999999999493,0.00012682909285511093,0.00010748962502372603
10000,5,0.0001,0.01980643310009129,0.019804452456781297,0.019731828067637572,0.019832711934570483,0.9999999999999503,7.262438914372449e-05,0.0001008838669329104
