step,phase_id,buffer_size,tracking_error_l2,exact_mmd2,buffer_count_class_0,buffer_count_class_1,class_0_present,class_1_present
20,1,3,0.25645704960874455,0.06972730881221323,3,0,1,0
40,1,3,0.26461029340082215,0.07507444936607788,3,0,1,0
60,1,3,0.25754653584895365,0.06922624206904215,3,0,1,0
80,1,3,0.2559971137111858,0.06850654550581403,3,0,1,0
100,1,3,0.24330914580400084,0.06238700074628978,3,0,1,0
120,1,3,0.24325650521828454,0.06306985028773071,3,0,1,0
140,1,3,0.2464394939251424,0.06465248135394186,3,0,1,0
160,1,3,0.2472811119571514,0.06515232119995662,3,0,1,0
180,1,3,0.24670778007632022,0.0651023246695639,3,0,1,0
200,1,3,0.2481573385109389,0.06567228715723428,3,0,1,0
220,1,3,0.2501438526358981,0.06678040453925205,3,0,1,0
240,1,3,0.2515655313242004,0.0648147402055882,3,0,1,0
260,1,3,0.2519998505594452,0.06505691003504799,3,0,1,0
280,1,3,0.25317679017711964,0.06543032012061778,3,0,1,0
300,1,3,0.25246377789590047,0.06501697748427471,3,0,1,0
320,1,3,0.25837932657453677,0.0684145323971812,3,0,1,0
340,1,3,0.2535285215527425,0.06549853816778217,3,0,1,0
360,1,3,0.25290236846114,0.06556235137485522,3,0,1,0
380,1,3,0.25063013284896507,0.06697880029495251,3,0,1,0
400,1,3,0.25062211524639944,0.06683966978732014,3,0,1,0
420,1,3,0.2507107644161463,0.06689352114177216,3,0,1,0
440,1,3,0.250622854687472,0.06693764949616587,3,0,1,0
460,1,3,0.25098139380601237,0.0668290837546558,3,0,1,0
480,1,3,0.2511039484288573,0.06684630714486006,3,0,1,0
500,1,3,0.2521877082104499,0.06759949826081357,3,0,1,0
520,1,3,0.23956511189074725,0.05931903219548018,3,0,1,0
540,1,3,0.2383100915286228,0.05871167596136362,3,0,1,0
560,1,3,0.23884534153310436,0.058836727268768985,3,0,1,0
580,1,3,0.23741239299424152,0.058265960196569044,3,0,1,0
600,1,3,0.23809480154985901,0.05847273650861651,3,0,1,0
620,1,3,0.23875263278737724,0.058876636293457074,3,0,1,0
640,1,3,0.24086069724649076,0.05980083134516534,3,0,1,0
660,1,3,0.23983556355119326,0.05930296578355809,3,0,1,0
680,1,3,0.238569554558926,0.05871519905870559,3,0,1,0
700,1,3,0.23901746290672818,0.0591361117289021,3,0,1,0
720,1,3,0.24117954288331914,0.05998252144638383,3,0,1,0
740,1,3,0.23919511245291253,0.05921259271225121,3,0,1,0
760,1,3,0.23902319749889311,0.05892749695192134,3,0,1,0
780,1,3,0.23917889498199887,0.05916365209397878,3,0,1,0
800,1,3,0.23912392142278502,0.05909341104957677,3,0,1,0
820,1,3,0.2396424070499811,0.059216093152744786,3,0,1,0
840,1,3,0.24066981733989742,0.0596665258686353,3,0,1,0
860,1,3,0.2397716194720122,0.059279725051795684,3,0,1,0
880,1,3,0.2404224128017459,0.05973220506763388,3,0,1,0
900,1,3,0.23983200890303788,0.059072372635229464,3,0,1,0
920,1,3,0.2402181375252722,0.05937480769149173,3,0,1,0
940,1,3,0.2392917817648001,0.058933357405485665,3,0,1,0
960,1,3,0.24248555100682276,0.05817653096268349,3,0,1,0
980,1,3,0.24149682014573126,0.05763604724819826,3,0,1,0
1000,1,3,0.24171075386837254,0.057733993389560645,3,0,1,0
1020,1,3,0.24108252312678125,0.057280389256142206,3,0,1,0
1040,1,3,0.24132628407223133,0.05752431457219298,3,0,1,0
1060,1,3,0.23716384843515367,0.05795398258442497,3,0,1,0
1080,1,3,0.2364481152440306,0.05788839964375114,3,0,1,0
1100,1,3,0.23633806829003232,0.057893233571680525,3,0,1,0
1120,1,3,0.23668984649023211,0.058124992671290676,3,0,1,0
1140,1,3,0.23561576632086437,0.05735651532348651,3,0,1,0
1160,1,3,0.23525867467814499,0.057180440246768716,3,0,1,0
1180,1,3,0.23569982131419662,0.05746895111319594,3,0,1,0
1200,1,3,0.23665272484968017,0.05786083540432507,3,0,1,0
1220,1,3,0.23636374271025742,0.05766908726325237,3,0,1,0
1240,1,3,0.23621698901663638,0.05769111240925562,3,0,1,0
1260,1,3,0.23741594599706034,0.05815861923608079,3,0,1,0
1280,1,3,0.23649099430350673,0.057805156249286505,3,0,1,0
1300,1,3,0.23672727286029804,0.05800508073799171,3,0,1,0
1320,1,3,0.2366678316885719,0.05802899310006093,3,0,1,0
1340,1,3,0.23744468814089004,0.0582091861555023,3,0,1,0
1360,1,3,0.23821912953256513,0.05891448843257796,3,0,1,0
1380,1,3,0.23903829917395011,0.05946931248305398,3,0,1,0
1400,1,3,0.23652936177497996,0.05793227054299266,3,0,1,0
1420,1,3,0.23604851733611504,0.057639541299786545,3,0,1,0
1440,1,3,0.23820742504280576,0.05897210411719345,3,0,1,0
1460,1,3,0.23702132741591694,0.05807900923758336,3,0,1,0
1480,1,3,0.23636469318269548,0.05773551340717464,3,0,1,0
1500,1,3,0.2363724274703223,0.057739334886175775,3,0,1,0
1520,2,3,0.23813904064543462,0.05864107898621396,3,0,1,0
1540,2,3,0.2384463941062626,0.05880195815209088,3,0,1,0
1560,2,3,0.23981526564263725,0.05941669648115688,3,0,1,0
1580,2,3,0.2407002417983225,0.060007577409900814,3,0,1,0
1600,2,3,0.2412733004884993,0.06028848146396226,3,0,1,0
1620,2,3,0.2419688719275622,0.06066625338665932,3,0,1,0
1640,2,3,0.2431878342418528,0.06134342839790918,3,0,1,0
1660,2,3,0.244483327410849,0.06196874421517817,3,0,1,0
1680,2,3,0.24614671732193666,0.062796004574447,3,0,1,0
1700,2,3,0.24695169652906268,0.06343165884304791,3,0,1,0
1720,2,3,0.23900921744942763,0.059903950697142605,2,1,1,1
1740,2,3,0.24155734956219477,0.06115640283371826,2,1,1,1
1760,2,3,0.23549168678722088,0.05881646570958354,2,1,1,1
1780,2,3,0.23643742216488467,0.05923755163008837,2,1,1,1
1800,2,3,0.2341719169773016,0.05839734624677839,2,1,1,1
1820,2,3,0.2345147960393954,0.05856481212818898,2,1,1,1
1840,2,3,0.23807685700611123,0.05996540781835635,2,1,1,1
1860,2,3,0.23538228908090786,0.058850054271841756,2,1,1,1
1880,2,3,0.23448006103384367,0.058578212175290134,2,1,1,1
1900,2,3,0.23323682205918664,0.0547718544710597,2,1,1,1
1920,2,3,0.23006187286634797,0.05323455154310841,2,1,1,1
1940,2,3,0.22876923761023754,0.0526585181828394,2,1,1,1
1960,2,3,0.22970198244557058,0.053100091027498575,2,1,1,1
1980,2,3,0.22900810639785116,0.052760350142343926,2,1,1,1
2000,2,3,0.23050295235353443,0.05345545480307401,2,1,1,1
2020,2,3,0.22964520595406113,0.053067763248090705,2,1,1,1
2040,2,3,0.2318170596069298,0.054074522012071746,2,1,1,1
2060,2,3,0.23112722087523463,0.05376765070087064,2,1,1,1
2080,2,3,0.22962717070601177,0.05305480004762775,2,1,1,1
2100,2,3,0.23165118775594642,0.05408213589852129,2,1,1,1
2120,2,3,0.23177112499813352,0.05411908791635367,2,1,1,1
2140,2,3,0.23064462595873617,0.053601699336729425,2,1,1,1
2160,2,3,0.23388967203393374,0.055117459890006604,2,1,1,1
2180,2,3,0.22665123714501667,0.05421810038430119,2,1,1,1
2200,2,3,0.22875196126742117,0.05505383723474622,2,1,1,1
