Algorithm,M,Model,Test_Accuracy
StreamCore,10,RandomForest,0.1207
StreamCore,10,SVC_RBF,0.1054
StreamCore,10,Ridge,0.3362
StreamCore,10,GradientBoosting,0.1054
StreamCore,10,MLP,0.3285
Bilevel,10,RandomForest,0.1125
Bilevel,10,SVC_RBF,0.1001
Bilevel,10,Ridge,0.3077
Bilevel,10,GradientBoosting,0.1001
Bilevel,10,MLP,0.3016
OnlineKCenter,10,RandomForest,0.1
OnlineKCenter,10,SVC_RBF,0.1
OnlineKCenter,10,Ridge,0.1
OnlineKCenter,10,GradientBoosting,0.1
OnlineKCenter,10,MLP,0.1
StreamFP,10,RandomForest,0.1
StreamFP,10,SVC_RBF,0.1
StreamFP,10,Ridge,0.1
StreamFP,10,GradientBoosting,0.1
StreamFP,10,MLP,0.1
OCS,10,RandomForest,0.1
OCS,10,SVC_RBF,0.1
OCS,10,Ridge,0.1
OCS,10,GradientBoosting,0.1
OCS,10,MLP,0.1
Reservoir,10,RandomForest,0.1899
Reservoir,10,SVC_RBF,0.1984
Reservoir,10,Ridge,0.2911
Reservoir,10,GradientBoosting,0.0992
Reservoir,10,MLP,0.2688
SuperSampling,10,RandomForest,0.2252
SuperSampling,10,SVC_RBF,0.2705
SuperSampling,10,Ridge,0.407
SuperSampling,10,GradientBoosting,0.0961
SuperSampling,10,MLP,0.4062
StreamCore,20,RandomForest,0.329
StreamCore,20,SVC_RBF,0.1262
StreamCore,20,Ridge,0.4497
StreamCore,20,GradientBoosting,0.0961
StreamCore,20,MLP,0.4579
Bilevel,20,RandomForest,0.2032
Bilevel,20,SVC_RBF,0.1733
Bilevel,20,Ridge,0.4321
Bilevel,20,GradientBoosting,0.1001
Bilevel,20,MLP,0.4018
OnlineKCenter,20,RandomForest,0.1044
OnlineKCenter,20,SVC_RBF,0.1044
OnlineKCenter,20,Ridge,0.1141
OnlineKCenter,20,GradientBoosting,0.1044
OnlineKCenter,20,MLP,0.1214
StreamFP,20,RandomForest,0.1
StreamFP,20,SVC_RBF,0.1
StreamFP,20,Ridge,0.1
StreamFP,20,GradientBoosting,0.1
StreamFP,20,MLP,0.1
OCS,20,RandomForest,0.1
OCS,20,SVC_RBF,0.1
OCS,20,Ridge,0.1
OCS,20,GradientBoosting,0.1
OCS,20,MLP,0.1
Reservoir,20,RandomForest,0.3257
Reservoir,20,SVC_RBF,0.204
Reservoir,20,Ridge,0.4557
Reservoir,20,GradientBoosting,0.1021
Reservoir,20,MLP,0.4435
SuperSampling,20,RandomForest,0.2682
SuperSampling,20,SVC_RBF,0.2811
SuperSampling,20,Ridge,0.4452
SuperSampling,20,GradientBoosting,0.0961
SuperSampling,20,MLP,0.4342
StreamCore,50,RandomForest,0.4376
StreamCore,50,SVC_RBF,0.3447
StreamCore,50,Ridge,0.635
StreamCore,50,GradientBoosting,0.4333
StreamCore,50,MLP,0.6272
Bilevel,50,RandomForest,0.2333
Bilevel,50,SVC_RBF,0.2161
Bilevel,50,Ridge,0.391
Bilevel,50,GradientBoosting,0.2914
Bilevel,50,MLP,0.4068
OnlineKCenter,50,RandomForest,0.1
OnlineKCenter,50,SVC_RBF,0.1
OnlineKCenter,50,Ridge,0.1
OnlineKCenter,50,GradientBoosting,0.1
OnlineKCenter,50,MLP,0.1
StreamFP,50,RandomForest,0.1184
StreamFP,50,SVC_RBF,0.1331
