Algorithm,M,Model,Test_Accuracy
StreamCore,20,RandomForest,0.38016666666666665
StreamCore,20,SVC_RBF,0.27975
StreamCore,20,Ridge,0.5385
StreamCore,20,MLP,0.5731666666666667
StreamCore,20,KNN,0.416
StreamCore,20,KMeans_ARI,0.22396113642368504
StreamCore,20,Anomaly_AUC,0.9836697638888888
Bilevel,20,RandomForest,0.22466666666666665
Bilevel,20,SVC_RBF,0.11641666666666667
Bilevel,20,Ridge,0.31133333333333335
Bilevel,20,MLP,0.3175
Bilevel,20,KNN,0.23683333333333334
Bilevel,20,KMeans_ARI,0.09862748930511389
Bilevel,20,Anomaly_AUC,0.9750563090277777
OCS,20,RandomForest,0.35208333333333336
OCS,20,SVC_RBF,0.4036666666666667
OCS,20,Ridge,0.44625
OCS,20,MLP,0.4846666666666667
OCS,20,KNN,0.316
OCS,20,KMeans_ARI,0.1505002845509912
OCS,20,Anomaly_AUC,0.9743788819444443
GSS,20,RandomForest,0.24375
GSS,20,SVC_RBF,0.1435
GSS,20,Ridge,0.3555833333333333
GSS,20,MLP,0.34358333333333335
GSS,20,KNN,0.2699166666666667
GSS,20,KMeans_ARI,0.08105375199957682
GSS,20,Anomaly_AUC,0.9615014027777776
StreamCore,50,RandomForest,0.5379166666666667
StreamCore,50,SVC_RBF,0.37725
StreamCore,50,Ridge,0.637
StreamCore,50,MLP,0.6665833333333333
StreamCore,50,KNN,0.5116666666666667
StreamCore,50,KMeans_ARI,0.20231086712199778
StreamCore,50,Anomaly_AUC,0.9878116458333333
Bilevel,50,RandomForest,0.27675
Bilevel,50,SVC_RBF,0.24541666666666667
Bilevel,50,Ridge,0.38716666666666666
Bilevel,50,MLP,0.4186666666666667
Bilevel,50,KNN,0.32658333333333334
Bilevel,50,KMeans_ARI,0.16468508628207032
Bilevel,50,Anomaly_AUC,0.9873728055555556
OCS,50,RandomForest,0.5189166666666667
OCS,50,SVC_RBF,0.5620833333333334
OCS,50,Ridge,0.57775
OCS,50,MLP,0.5930833333333333
OCS,50,KNN,0.48333333333333334
OCS,50,KMeans_ARI,0.2863408754923191
OCS,50,Anomaly_AUC,0.9874709861111111
GSS,50,RandomForest,0.329
GSS,50,SVC_RBF,0.3115833333333333
GSS,50,Ridge,0.48991666666666667
GSS,50,MLP,0.5036666666666667
GSS,50,KNN,0.37366666666666665
GSS,50,KMeans_ARI,0.2585968137488461
GSS,50,Anomaly_AUC,0.9838409791666667
StreamCore,100,RandomForest,0.55025
StreamCore,100,SVC_RBF,0.5043333333333333
StreamCore,100,Ridge,0.66625
StreamCore,100,MLP,0.7
StreamCore,100,KNN,0.5593333333333333
StreamCore,100,KMeans_ARI,0.25297867467971336
StreamCore,100,Anomaly_AUC,0.9891195208333334
Bilevel,100,RandomForest,0.307
Bilevel,100,SVC_RBF,0.2905
Bilevel,100,Ridge,0.4235
Bilevel,100,MLP,0.4578333333333333
Bilevel,100,KNN,0.3790833333333333
Bilevel,100,KMeans_ARI,0.172538486240718
Bilevel,100,Anomaly_AUC,0.9898501180555556
OCS,100,RandomForest,0.60225
OCS,100,SVC_RBF,0.62725
OCS,100,Ridge,0.6245
OCS,100,MLP,0.642
OCS,100,KNN,0.5480833333333334
OCS,100,KMeans_ARI,0.33026907030510827
OCS,100,Anomaly_AUC,0.9905151249999999
GSS,100,RandomForest,0.23008333333333333
GSS,100,SVC_RBF,0.264
GSS,100,Ridge,0.4315833333333333
GSS,100,MLP,0.45625
GSS,100,KNN,0.3418333333333333
GSS,100,KMeans_ARI,0.2597577601126022
GSS,100,Anomaly_AUC,0.9817173472222224
