Algorithm,M,Model,Test_Accuracy
StreamCore,20,RandomForest,0.507
StreamCore,20,SVC_RBF,0.21492857142857144
StreamCore,20,Ridge,0.6427142857142857
StreamCore,20,MLP,0.6345714285714286
StreamCore,20,KNN,0.4740714285714286
StreamCore,20,KMeans_ARI,0.24204110505546214
StreamCore,20,Anomaly_AUC,0.9758607959183674
Bilevel,20,RandomForest,0.30392857142857144
Bilevel,20,SVC_RBF,0.14557142857142857
Bilevel,20,Ridge,0.4165
Bilevel,20,MLP,0.4397142857142857
Bilevel,20,KNN,0.334
Bilevel,20,KMeans_ARI,0.15398520510366956
Bilevel,20,Anomaly_AUC,0.9618463112244897
OCS,20,RandomForest,0.42228571428571426
OCS,20,SVC_RBF,0.4372142857142857
OCS,20,Ridge,0.4725
OCS,20,MLP,0.48642857142857143
OCS,20,KNN,0.3262857142857143
OCS,20,KMeans_ARI,0.20682270409946843
OCS,20,Anomaly_AUC,0.9741823010204083
GSS,20,RandomForest,0.34235714285714286
GSS,20,SVC_RBF,0.18421428571428572
GSS,20,Ridge,0.4620714285714286
GSS,20,MLP,0.43735714285714283
GSS,20,KNN,0.37514285714285717
GSS,20,KMeans_ARI,0.23378413243298515
GSS,20,Anomaly_AUC,0.973357806122449
StreamCore,50,RandomForest,0.6345
StreamCore,50,SVC_RBF,0.4095714285714286
StreamCore,50,Ridge,0.7742142857142857
StreamCore,50,MLP,0.7549285714285714
StreamCore,50,KNN,0.5787142857142857
StreamCore,50,KMeans_ARI,0.28220359408698314
StreamCore,50,Anomaly_AUC,0.9855268622448979
Bilevel,50,RandomForest,0.384
Bilevel,50,SVC_RBF,0.2890714285714286
Bilevel,50,Ridge,0.4599285714285714
Bilevel,50,MLP,0.4599285714285714
Bilevel,50,KNN,0.3127142857142857
Bilevel,50,KMeans_ARI,0.1316233529043095
Bilevel,50,Anomaly_AUC,0.975905030612245
OCS,50,RandomForest,0.5350714285714285
OCS,50,SVC_RBF,0.547
OCS,50,Ridge,0.6404285714285715
OCS,50,MLP,0.5615
OCS,50,KNN,0.5039285714285714
OCS,50,KMeans_ARI,0.27492966088036014
OCS,50,Anomaly_AUC,0.9768256428571429
GSS,50,RandomForest,0.4092857142857143
GSS,50,SVC_RBF,0.39885714285714285
GSS,50,Ridge,0.49142857142857144
GSS,50,MLP,0.5083571428571428
GSS,50,KNN,0.41364285714285715
GSS,50,KMeans_ARI,0.25187622529345155
GSS,50,Anomaly_AUC,0.9773568775510204
StreamCore,100,RandomForest,0.7335
StreamCore,100,SVC_RBF,0.7007142857142857
StreamCore,100,Ridge,0.8212857142857143
StreamCore,100,MLP,0.816
StreamCore,100,KNN,0.6822142857142857
StreamCore,100,KMeans_ARI,0.3004866256504512
StreamCore,100,Anomaly_AUC,0.9803740969387754
Bilevel,100,RandomForest,0.44407142857142856
Bilevel,100,SVC_RBF,0.29464285714285715
Bilevel,100,Ridge,0.5832857142857143
Bilevel,100,MLP,0.5467142857142857
Bilevel,100,KNN,0.39171428571428574
Bilevel,100,KMeans_ARI,0.1580548114966653
Bilevel,100,Anomaly_AUC,0.9749823367346939
OCS,100,RandomForest,0.6408571428571429
OCS,100,SVC_RBF,0.6385
OCS,100,Ridge,0.7536428571428572
OCS,100,MLP,0.6925
OCS,100,KNN,0.608
OCS,100,KMeans_ARI,0.38154463533176336
OCS,100,Anomaly_AUC,0.9871558775510204
GSS,100,RandomForest,0.42278571428571426
GSS,100,SVC_RBF,0.43057142857142855
GSS,100,Ridge,0.5785714285714286
GSS,100,MLP,0.5681428571428572
GSS,100,KNN,0.45357142857142857
GSS,100,KMeans_ARI,0.19728721234596477
GSS,100,Anomaly_AUC,0.9717569540816327
